fecha,edad,ActGrales,ActFyDep,OfCultEnt,VidaNoct
08/09/2025 03:33:25,30 a 49,Baños termales / Spa,Natación / pileta,"Buena, aunque puede mejorar",Buena
29/08/2025 02:29:04,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Poco atractiva
09/06/2025 08:05:20,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
13/09/2025 19:20:25,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Regular
21/08/2025 11:59:39,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales",Caminatas / senderismo,No me interesaba,No salí de noche
11/07/2025 06:30:11,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Bochas,Poca variedad,Muy activa y divertida
23/08/2025 13:58:37,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
29/10/2025 14:27:33,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Bochas,Poca variedad,Buena
31/08/2025 22:06:03,30 a 49,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
02/08/2025 13:52:48,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Regular
12/07/2025 08:56:09,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta",Muy variada y de calidad,Muy activa y divertida
27/07/2025 16:53:32,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,Muy variada y de calidad,Regular
04/08/2025 01:44:51,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
08/06/2025 00:15:15,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,"Buena, aunque puede mejorar",Buena
18/07/2025 04:33:37,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta",No me interesaba,Buena
31/08/2025 00:47:48,30 a 49,Salidas nocturnas / bares / casino,"Caminatas / senderismo, Bochas",Poca variedad,Muy activa y divertida
17/09/2025 21:24:58,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Poca variedad,Muy activa y divertida
03/10/2025 05:49:17,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
15/10/2025 14:05:12,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
07/08/2025 05:33:14,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Buena
28/08/2025 15:36:42,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
26/10/2025 14:40:54,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
25/08/2025 07:24:24,18 a 29,"Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,"Buena, aunque puede mejorar",Regular
23/10/2025 20:30:27,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
17/10/2025 14:23:46,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
21/09/2025 03:55:31,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
04/07/2025 18:38:25,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Muy activa y divertida
15/10/2025 19:21:43,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Buena
06/06/2025 22:31:42,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
09/06/2025 21:33:29,50 a 64,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
09/10/2025 05:43:35,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Buena
20/06/2025 19:58:26,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
05/10/2025 23:46:31,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,"Buena, aunque puede mejorar",Regular
21/06/2025 13:35:16,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Poca variedad,No salí de noche
01/11/2025 16:59:19,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
09/08/2025 06:05:59,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,Poca variedad,Buena
13/10/2025 10:41:07,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Bochas,Poca variedad,Muy activa y divertida
25/08/2025 17:31:54,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Muy activa y divertida
19/10/2025 11:19:36,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,Muy variada y de calidad,Muy activa y divertida
18/08/2025 11:46:39,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
06/11/2025 06:59:12,30 a 49,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
27/08/2025 07:53:23,50 a 64,Salidas nocturnas / bares / casino,Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
14/07/2025 12:54:58,65 o más,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
13/10/2025 14:58:44,30 a 49,"Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Poca variedad,Muy activa y divertida
29/09/2025 17:13:40,18 a 29,"Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
27/10/2025 05:24:17,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
25/10/2025 00:47:49,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
17/06/2025 20:51:36,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Bochas,Poca variedad,Buena
30/05/2025 10:23:49,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,"Buena, aunque puede mejorar",Buena
09/08/2025 18:20:51,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
13/06/2025 21:23:14,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales","Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
09/10/2025 21:14:49,30 a 49,Baños termales / Spa,"Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
08/09/2025 20:37:36,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,No salí de noche
18/07/2025 13:47:41,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
04/06/2025 09:39:12,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,Muy activa y divertida
27/06/2025 18:45:50,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
12/06/2025 03:13:38,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Bochas,"Buena, aunque puede mejorar",Buena
24/08/2025 02:57:32,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
02/08/2025 18:59:49,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Muy variada y de calidad,Regular
11/07/2025 03:13:15,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
20/06/2025 23:06:30,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
05/07/2025 19:24:13,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Buena
11/08/2025 12:21:39,18 a 29,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
05/07/2025 06:40:03,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
02/07/2025 08:02:48,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
17/10/2025 07:26:05,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
28/08/2025 19:01:39,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
02/09/2025 07:58:28,65 o más,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
13/06/2025 19:05:49,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
08/06/2025 13:10:08,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
11/09/2025 19:31:41,50 a 64,Baños termales / Spa,"Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
18/09/2025 23:16:16,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
09/10/2025 16:50:04,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,"Buena, aunque puede mejorar",Buena
06/09/2025 19:23:28,30 a 49,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Bochas,Muy variada y de calidad,Muy activa y divertida
12/07/2025 21:47:09,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Bochas,Muy variada y de calidad,Muy activa y divertida
26/08/2025 22:31:02,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino","Caminatas / senderismo, Bochas",Poca variedad,Buena
15/09/2025 16:43:45,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Natación / pileta,Muy variada y de calidad,Buena
10/06/2025 12:42:56,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
04/06/2025 10:39:28,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
04/06/2025 00:46:46,30 a 49,Salidas nocturnas / bares / casino,Caminatas / senderismo,No me interesaba,Regular
01/06/2025 21:49:18,18 a 29,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",No me interesaba,Muy activa y divertida
06/06/2025 03:03:43,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
04/06/2025 10:26:07,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino",Bochas,Muy variada y de calidad,Buena
28/07/2025 15:57:21,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
28/06/2025 16:56:56,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
07/07/2025 02:18:48,50 a 64,Baños termales / Spa,"Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Buena
03/10/2025 15:25:08,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
03/09/2025 04:21:23,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
15/09/2025 10:05:41,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Muy variada y de calidad,Buena
26/06/2025 01:53:02,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
05/09/2025 14:01:11,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,Muy variada y de calidad,No salí de noche
30/10/2025 05:45:06,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
08/10/2025 17:41:24,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Consumir Gastronomía Regional","Caminatas / senderismo, Natación / pileta","Buena, aunque puede mejorar",Buena
18/07/2025 10:24:00,18 a 29,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
05/10/2025 17:14:16,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
25/08/2025 11:42:45,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Poca variedad,Buena
22/10/2025 08:05:28,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Buena
20/06/2025 00:03:08,50 a 64,"Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
03/09/2025 22:12:52,65 o más,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
21/08/2025 23:11:24,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Poca variedad,Buena
21/08/2025 02:38:49,50 a 64,Baños termales / Spa,Bochas,"Buena, aunque puede mejorar",Regular
24/09/2025 12:56:35,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta",Poca variedad,Muy activa y divertida
02/11/2025 11:10:50,30 a 49,Baños termales / Spa,Caminatas / senderismo,Muy variada y de calidad,Buena
26/08/2025 03:41:18,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
14/08/2025 05:59:57,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Poco atractiva
24/06/2025 18:07:50,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Muy activa y divertida
15/07/2025 08:32:13,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
18/06/2025 07:10:48,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
08/07/2025 19:44:30,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Natación / pileta",Poca variedad,Regular
01/11/2025 05:29:29,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Muy variada y de calidad,Buena
06/11/2025 02:39:50,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Regular
20/10/2025 23:36:13,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
17/07/2025 06:01:14,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
06/07/2025 05:22:15,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Poca variedad,Buena
28/08/2025 00:49:20,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,"Buena, aunque puede mejorar",Buena
15/09/2025 12:51:04,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional",Natación / pileta,Muy variada y de calidad,Buena
02/09/2025 07:03:06,30 a 49,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
25/08/2025 08:34:01,65 o más,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Regular
29/09/2025 23:49:21,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
29/10/2025 14:59:56,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
13/09/2025 08:15:03,30 a 49,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
05/08/2025 16:11:40,30 a 49,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Natación / pileta,Poca variedad,Muy activa y divertida
29/07/2025 22:11:08,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Natación / pileta,Muy variada y de calidad,Muy activa y divertida
19/10/2025 23:23:01,50 a 64,Salidas nocturnas / bares / casino,"Caminatas / senderismo, Natación / pileta",Muy variada y de calidad,Muy activa y divertida
08/08/2025 13:49:40,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",No salí de noche
27/10/2025 19:45:07,30 a 49,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
13/09/2025 12:42:59,50 a 64,Salidas nocturnas / bares / casino,"Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
28/06/2025 01:33:40,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,Muy activa y divertida
16/10/2025 19:55:34,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Poco atractiva
27/09/2025 18:41:46,18 a 29,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Muy variada y de calidad,Muy activa y divertida
09/08/2025 07:44:41,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.)",Natación / pileta,Poca variedad,Poco atractiva
28/10/2025 17:01:06,50 a 64,"Baños termales / Spa, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Muy activa y divertida
19/07/2025 12:58:05,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Poco atractiva
23/07/2025 10:43:20,18 a 29,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas","Buena, aunque puede mejorar",Regular
24/07/2025 12:59:06,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Natación / pileta,"Buena, aunque puede mejorar",Muy activa y divertida
22/09/2025 17:15:31,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino",Caminatas / senderismo,"Buena, aunque puede mejorar",Muy activa y divertida
28/08/2025 19:43:24,30 a 49,"Salidas nocturnas / bares / casino, Consumir Gastronomía Regional","Caminatas / senderismo, Natación / pileta",Muy variada y de calidad,Buena
18/06/2025 23:13:00,50 a 64,Baños termales / Spa,Caminatas / senderismo,"Buena, aunque puede mejorar",Regular
07/09/2025 02:50:26,30 a 49,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,"Buena, aunque puede mejorar",Buena
22/06/2025 19:03:35,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,"Buena, aunque puede mejorar",Poco atractiva
08/06/2025 08:58:19,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
16/09/2025 22:59:26,50 a 64,"Baños termales / Spa, Salidas nocturnas / bares / casino, Consumir Gastronomía Regional","Caminatas / senderismo, Bicicleta, Golf, Bochas, Natación / pileta","Buena, aunque puede mejorar",Buena
29/07/2025 14:35:38,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Natación / pileta,"Buena, aunque puede mejorar",Buena
06/10/2025 05:10:04,65 o más,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional",Caminatas / senderismo,Poca variedad,No salí de noche
19/07/2025 11:53:16,65 o más,Baños termales / Spa,Caminatas / senderismo,"Buena, aunque puede mejorar",No salí de noche
24/09/2025 22:59:08,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)",Caminatas / senderismo,Poca variedad,No salí de noche
28/06/2025 01:43:50,30 a 49,"Baños termales / Spa, Consumir Gastronomía Regional",Natación / pileta,Poca variedad,Muy activa y divertida
06/08/2025 21:12:04,50 a 64,"Baños termales / Spa, Visita a museos o espacios culturales, Paseos al aire libre (parque, costanera, dique, etc.)","Caminatas / senderismo, Bochas",Muy variada y de calidad,Muy activa y divertida
30/06/2025 01:44:03,50 a 64,"Baños termales / Spa, Asistencia a espectáculos (música, teatro, etc.), Visita a museos o espacios culturales, Salidas nocturnas / bares / casino, Paseos al aire libre (parque, costanera, dique, etc.), Consumir Gastronomía Regional, ",Caminatas / senderismo,Poca variedad,Regular
27/07/2025 11:34:27,50 a 64,"Asistencia a espectáculos (música, teatro, etc.), Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Poca variedad,Muy activa y divertida
19/09/2025 18:06:25,50 a 64,"Baños termales / Spa, Consumir Gastronomía Regional","Caminatas / senderismo, Bochas",Poca variedad,Muy activa y divertida
21/09/2025 02:20:40,65 o más,"Baños termales / Spa, Consumir Gastronomía Regional",Caminatas / senderismo,Muy variada y de calidad,Buena
