fecha,alojamiento,HPAs,HLimp,HWifi,HGastro,HEntret,HSeguridad,HPyS,H$
17/10/2025 19:56:37,Hotel 4*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
16/06/2025 20:09:17,Hotel 3*,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
19/10/2025 05:14:08,Hotel 3*,Excelente,Muy Bueno,Excelente,Bueno,Bueno,Excelente,Bueno,Muy Bueno
02/06/2025 01:44:27,Hotel 3*,Bueno,Excelente,Bueno,Muy Bueno,Bueno,Excelente,Bueno,Excelente
23/07/2025 10:05:06,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente
12/09/2025 17:19:30,Hotel 4*,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Bueno,Bueno,Muy Bueno
11/09/2025 02:35:56,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
08/09/2025 07:04:17,Apart Hotel,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Excelente
11/09/2025 17:16:04,Cabañas,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
23/07/2025 17:38:20,Hotel 1*,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
25/07/2025 20:17:25,Hotel 2*,Excelente,Excelente,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Excelente
02/07/2025 02:56:00,Hotel 3*,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno,Excelente,Bueno
11/06/2025 05:16:12,Hotel 2*,Muy Bueno,Excelente,Regular,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente
08/10/2025 05:34:21,Hotel 4*,Muy Bueno,Excelente,Regular,Bueno,Bueno,Muy Bueno,Excelente,Excelente
17/08/2025 18:41:28,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente
26/10/2025 09:14:53,Hotel 1*,Excelente,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
11/08/2025 23:40:43,Hotel 3*,Excelente,Excelente,Muy Bueno,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno
04/10/2025 06:33:49,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno,Bueno,Bueno
03/09/2025 22:48:28,Hotel 3*,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
17/09/2025 05:59:45,Hotel 4*,Muy Bueno,Excelente,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Excelente
28/07/2025 04:51:27,Hotel 2*,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente
15/08/2025 08:56:06,Hotel 3*,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno
17/07/2025 16:49:33,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno
03/08/2025 13:22:05,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
31/07/2025 02:59:24,Hotel 4*,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno
03/09/2025 07:36:02,Hotel 2*,Excelente,Muy Bueno,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno
24/09/2025 10:12:15,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
08/10/2025 19:43:13,Hotel 2*,Muy Bueno,Excelente,Excelente,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno
11/07/2025 20:37:16,Hotel 2*,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno
26/09/2025 21:34:54,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
15/10/2025 16:13:45,Apart Hotel,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
27/07/2025 15:37:36,Hotel 3*,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Bueno
27/08/2025 11:26:38,Hotel 3*,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno
27/06/2025 02:47:31,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Muy Bueno
15/09/2025 20:19:21,Hotel 3*,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
29/09/2025 10:19:39,Hotel 3*,Bueno,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
08/09/2025 12:26:04,Cabañas,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno
16/10/2025 02:05:10,Apart Hotel,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno
20/07/2025 14:08:10,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Excelente
26/07/2025 11:34:53,Apart Hotel,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno
29/09/2025 00:11:51,Hotel 2*,Excelente,Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
25/06/2025 21:11:53,Hotel 2*,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
24/07/2025 20:28:56,Hotel 4*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno
01/08/2025 18:52:08,Hotel 2*,Bueno,Excelente,Regular,Bueno,Bueno,Muy Bueno,Excelente,Excelente
02/07/2025 01:39:25,Hotel 2*,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
02/08/2025 12:08:33,Apart Hotel,Excelente,Muy Bueno,Regular,Muy Bueno,Excelente,Bueno,Bueno,Bueno
04/06/2025 03:50:56,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Excelente
05/07/2025 01:38:32,Hotel 2*,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
19/10/2025 04:06:31,Cabañas,Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
06/06/2025 15:03:00,Hotel 1*,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
24/08/2025 15:16:09,Apart Hotel,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
13/10/2025 16:33:16,Apart Hotel,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
12/06/2025 21:30:54,Hotel 4*,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente
08/09/2025 21:29:32,Hotel 3*,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
08/06/2025 06:47:12,Hotel 2*,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
28/09/2025 22:08:45,Hotel 3*,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
14/10/2025 04:04:22,Hotel 3*,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Bueno
08/07/2025 14:55:10,Hotel 3*,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
26/07/2025 19:51:12,Cabañas,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno
04/08/2025 01:51:40,Hotel 2*,Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Bueno
04/06/2025 11:55:46,Apart Hotel,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno,Excelente,Excelente,Excelente
31/08/2025 16:51:44,Hotel 3*,Muy Bueno,Bueno,Excelente,Excelente,Excelente,Bueno,Excelente,Muy Bueno
23/10/2025 05:58:27,Hotel 3*,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
01/11/2025 22:03:50,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
11/09/2025 14:53:10,Hotel 2*,Excelente,Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Bueno
22/08/2025 22:58:56,Hotel 2*,Muy Bueno,Excelente,Excelente,Bueno,Bueno,Bueno,Muy Bueno,Excelente
18/07/2025 23:41:59,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno
25/08/2025 23:29:35,Hotel 2*,Muy Bueno,Excelente,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno
13/10/2025 23:05:17,Hotel 4*,Excelente,Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
27/06/2025 09:04:03,Hotel 4*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente
12/07/2025 01:19:22,Hotel 4*,Excelente,Excelente,Muy Bueno,Bueno,Bueno,Bueno,Muy Bueno,Excelente
30/08/2025 19:52:12,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente
23/09/2025 09:42:05,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
19/07/2025 01:24:58,Apart Hotel,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
28/06/2025 14:13:34,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
01/10/2025 15:40:06,Hotel 3*,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
11/10/2025 05:50:27,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
27/06/2025 10:34:14,Hotel 3*,Muy Bueno,Excelente,Regular,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
17/09/2025 01:30:02,Hotel 1*,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente,Excelente,Excelente,Excelente
02/09/2025 15:13:24,Hotel 3*,Excelente,Bueno,Regular,Excelente,Bueno,Muy Bueno,Excelente,Excelente
29/08/2025 00:14:54,Hotel 2*,Muy Bueno,Excelente,Regular,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
05/10/2025 21:46:53,Hotel 3*,Muy Bueno,Bueno,Regular,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
08/11/2025 01:42:29,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno,Bueno,Excelente,Excelente
19/10/2025 00:04:51,Hotel 2*,Bueno,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente,Muy Bueno
05/10/2025 07:34:16,Hotel 1*,Excelente,Muy Bueno,Regular,Bueno,Bueno,Bueno,Excelente,Excelente
22/10/2025 17:41:33,Hotel 4*,Excelente,Excelente,Regular,Excelente,Muy Bueno,Excelente,Excelente,Excelente
12/09/2025 01:14:24,Apart Hotel,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
09/06/2025 13:39:13,Apart Hotel,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente
28/09/2025 17:01:04,Hotel 3*,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
30/06/2025 23:36:40,Hotel 3*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
25/06/2025 09:29:23,Hotel 1*,Excelente,Bueno,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Muy Bueno
23/08/2025 14:56:39,Hotel 4*,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
06/08/2025 11:21:58,Hotel 4*,Muy Bueno,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno
20/08/2025 10:38:30,Hotel 2*,Bueno,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
05/06/2025 09:54:25,Hotel 4*,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Excelente
09/10/2025 21:40:25,Hotel 3*,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
04/10/2025 21:08:10,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Excelente
28/08/2025 20:41:22,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
07/10/2025 04:11:13,Hotel 4*,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
01/09/2025 06:10:31,Hotel 2*,Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Excelente
07/06/2025 15:00:15,Hotel 2*,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno
30/07/2025 16:20:45,Hotel 3*,Excelente,Muy Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
20/08/2025 05:03:45,Hotel 2*,Excelente,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
16/06/2025 12:36:41,Hotel 3*,Excelente,Bueno,Bueno,Muy Bueno,Bueno,Excelente,Excelente,Excelente
26/08/2025 02:57:11,Cabañas,Bueno,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente
18/08/2025 15:39:10,Apart Hotel,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
17/06/2025 10:08:55,Hotel 2*,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
26/07/2025 13:24:36,Hotel 2*,Excelente,Bueno,Regular,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
03/10/2025 02:47:25,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
09/10/2025 03:04:22,Hotel 3*,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno
10/06/2025 21:29:29,Hotel 1*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
05/08/2025 12:18:34,Hotel 2*,Bueno,Bueno,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Excelente
06/07/2025 16:06:32,Hotel 3*,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
04/09/2025 02:57:30,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Bueno
30/10/2025 01:05:24,Apart Hotel,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Muy Bueno
15/06/2025 18:36:30,Hotel 2*,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno
21/06/2025 07:40:29,Hotel 2*,Excelente,Bueno,Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente
18/08/2025 10:26:31,Hotel 2*,Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno
05/09/2025 01:19:13,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Bueno,Excelente,Excelente
14/09/2025 20:41:42,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
21/10/2025 11:00:03,Hotel 2*,Muy Bueno,Muy Bueno,Regular,Muy Bueno,Bueno,Excelente,Bueno,Muy Bueno
11/08/2025 16:22:34,Hotel 3*,Excelente,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Excelente,Bueno
25/07/2025 11:36:14,Hotel 2*,Bueno,Muy Bueno,Regular,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente
28/06/2025 17:46:12,Hotel 2*,Excelente,Excelente,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno
12/09/2025 00:55:50,Hotel 2*,Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno
27/10/2025 12:59:39,Hotel 3*,Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
12/09/2025 03:47:07,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente,Bueno
06/07/2025 04:26:02,Hotel 1*,Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
27/08/2025 10:45:14,Apart Hotel,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
11/09/2025 10:06:05,Hotel 2*,Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno
28/08/2025 00:00:56,Hotel 4*,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno
24/10/2025 19:55:01,Hotel 3*,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
07/09/2025 07:38:21,Hotel 3*,Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
09/08/2025 08:53:13,Hotel 1*,Bueno,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
22/09/2025 22:55:41,Hotel 4*,Excelente,Excelente,Muy Bueno,Bueno,Bueno,Excelente,Excelente,Muy Bueno
04/11/2025 10:06:22,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
23/08/2025 22:53:37,Hotel 3*,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
18/10/2025 23:56:14,Hotel 2*,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Excelente
12/08/2025 19:39:05,Hotel 3*,Bueno,Muy Bueno,Bueno,Bueno,Muy Bueno,Excelente,Bueno,Muy Bueno
03/09/2025 10:18:28,Hotel 4*,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Bueno
30/09/2025 14:50:14,Apart Hotel,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente,Excelente
08/08/2025 16:19:14,Apart Hotel,Bueno,Excelente,Excelente,Excelente,Bueno,Bueno,Excelente,Muy Bueno
01/09/2025 04:52:44,Hotel 2*,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno
10/10/2025 15:33:17,Hotel 3*,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
20/06/2025 16:05:58,Hotel 3*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
04/07/2025 11:24:39,Hotel 2*,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente
02/08/2025 14:35:46,Hotel 2*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
22/07/2025 15:30:20,Hotel 3*,Muy Bueno,Muy Bueno,Regular,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
19/08/2025 02:15:02,Hotel 2*,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Excelente
25/09/2025 13:54:43,Apart Hotel,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
08/06/2025 08:38:05,Hotel 3*,Excelente,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
11/06/2025 16:12:34,Hotel 3*,Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
08/06/2025 13:45:12,Hotel 1*,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente
16/09/2025 16:50:01,Hotel 4*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Excelente,Excelente
14/06/2025 21:10:08,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente
18/08/2025 11:48:09,Hotel 2*,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
10/08/2025 06:35:20,Hotel 2*,Muy Bueno,Bueno,Muy Bueno,Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno
10/07/2025 06:43:17,Hotel 4*,Excelente,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Excelente
06/07/2025 00:35:51,Hotel 3*,Excelente,Excelente,Excelente,Bueno,Bueno,Muy Bueno,Muy Bueno,Excelente
02/08/2025 14:20:02,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
14/06/2025 02:56:09,Hotel 3*,Bueno,Muy Bueno,Excelente,Excelente,Bueno,Muy Bueno,Excelente,Excelente
29/08/2025 07:53:19,Hotel 3*,Excelente,Muy Bueno,Regular,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente
05/09/2025 12:41:28,Hotel 3*,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
06/11/2025 22:40:23,Cabañas,Bueno,Excelente,Bueno,Muy Bueno,Excelente,Muy Bueno,Excelente,Excelente
31/10/2025 19:29:00,Apart Hotel,Muy Bueno,Bueno,Bueno,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno
22/10/2025 06:34:35,Hotel 4*,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Excelente
15/08/2025 10:08:52,Hotel 2*,Muy Bueno,Bueno,Excelente,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno
29/07/2025 20:34:04,Hotel 2*,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
07/10/2025 21:23:32,Hotel 2*,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Excelente
13/08/2025 09:01:18,Hotel 2*,Bueno,Excelente,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
30/08/2025 20:45:54,Hotel 4*,Muy Bueno,Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente,Excelente
10/09/2025 13:14:14,Hotel 4*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
21/10/2025 14:19:53,Hotel 2*,Excelente,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Muy Bueno,Muy Bueno
30/07/2025 21:39:22,Hotel 2*,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente,Muy Bueno
04/06/2025 10:18:53,Cabañas,Excelente,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
05/11/2025 09:45:57,Hotel 2*,Excelente,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
27/06/2025 20:38:22,Hotel 2*,Muy Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Excelente
08/09/2025 16:31:30,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Excelente
31/08/2025 12:27:23,Hotel 3*,Muy Bueno,Muy Bueno,Regular,Excelente,Muy Bueno,Excelente,Muy Bueno,Excelente
26/07/2025 03:04:26,Cabañas,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Bueno,Excelente,Muy Bueno,Excelente
11/08/2025 18:26:04,Hotel 2*,Muy Bueno,Excelente,Muy Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno
01/06/2025 09:13:17,Hotel 1*,Muy Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno
23/06/2025 12:02:19,Cabañas,Muy Bueno,Excelente,Bueno,Muy Bueno,Muy Bueno,Excelente,Excelente,Muy Bueno
25/08/2025 04:14:31,Hotel 4*,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
18/09/2025 06:25:33,Hotel 3*,Excelente,Excelente,Muy Bueno,Excelente,Excelente,Excelente,Muy Bueno,Excelente
28/08/2025 19:22:20,Hotel 2*,Muy Bueno,Bueno,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Excelente
10/10/2025 18:43:17,Hotel 2*,Excelente,Muy Bueno,Excelente,Bueno,Bueno,Muy Bueno,Excelente,Muy Bueno
24/07/2025 15:50:55,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno
10/08/2025 17:38:12,Hotel 2*,Excelente,Excelente,Excelente,Excelente,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
02/06/2025 16:35:59,Cabañas,Muy Bueno,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno
05/10/2025 13:19:17,Hotel 3*,Bueno,Excelente,Muy Bueno,Excelente,Bueno,Excelente,Excelente,Muy Bueno
30/09/2025 18:33:31,Hotel 3*,Muy Bueno,Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Excelente
22/07/2025 07:03:35,Hotel 3*,Muy Bueno,Excelente,Muy Bueno,Bueno,Muy Bueno,Muy Bueno,Muy Bueno,Muy Bueno
14/10/2025 21:57:41,Hotel 2*,Muy Bueno,Muy Bueno,Muy Bueno,Excelente,Muy Bueno,Bueno,Excelente,Excelente
14/08/2025 22:46:06,Hotel 3*,Muy Bueno,Bueno,Muy Bueno,Excelente,Bueno,Excelente,Muy Bueno,Muy Bueno
